CONGLOME,VIVIENDA,HOGAR,UBIGEO,P1131,P1132,P1133,P1135,P1136,P1137,P1139,P1121,P1141,P1142,P101,P102,P1172$02,radio,tv_color,tv_bn,refrigeradora,P207,P208A,P301A,MIEPERHO,INGHOG2D
18636,28,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,97,2,1,2,1,2,52,8,2,40074.43359375
18636,64,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,164,2,1,2,1,1,60,10,4,186510.265625
18636,82,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,213,2,1,2,1,2,58,10,7,154247.609375
18636,100,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,10,2,2,2,2,2,58,8,3,42930.18359375
18644,46,11,160101,1,0,0,1,1,0,0,1,0,1,1,7,35,1,2,2,2,1,85,9,3,12586.10546875
18581,113,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,97,2,1,2,1,1,38,10,4,75170.8125
18576,120,12,160101,0,0,0,1,0,0,0,1,0,1,1,1,15,1,2,2,2,1,58,7,4,55865.1484375
18576,120,22,160101,0,1,0,1,0,1,0,1,0,1,8,9,20,1,1,2,1,1,36,7,6,42220.96484375
18599,86,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,72,2,1,2,1,2,40,8,4,44368.54296875
18598,149,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,78,1,1,2,1,1,58,6,2,23150.048828125
18598,98,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,77,1,1,2,1,1,64,6,2,51664.8515625
18613,102,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,39,2,1,2,1,2,48,7,3,14284.9873046875
18588,38,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,194,2,1,2,1,2,53,8,4,112512.5859375
18606,49,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,211,2,1,2,1,1,56,8,5,116915.875
18606,61,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,158,2,1,2,1,1,60,8,6,83842.453125
18606,74,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,137,2,1,2,1,2,57,10,5,84063.84375
18592,52,11,160101,0,0,0,1,0,0,0,1,0,1,1,8,8,2,2,2,2,2,34,5,8,9369.7802734375
18592,114,11,160101,0,1,0,1,0,0,0,1,0,1,1,7,107,2,1,2,1,2,34,6,3,33448.484375
18592,153,11,160101,1,0,0,1,0,0,0,1,0,1,1,8,70,2,1,2,2,2,50,6,8,42720.78125
18592,172,11,160101,0,1,0,1,0,0,0,1,0,1,1,8,55,1,2,2,1,2,51,6,4,27490.447265625
18592,12,11,160101,0,1,0,0,0,0,0,1,0,1,1,8,24,1,1,2,1,2,32,5,4,23235.115234375
18592,33,11,160101,0,1,0,0,0,0,0,1,0,1,1,8,10,2,2,2,2,1,29,5,3,12403.072265625
18581,163,11,160101,0,1,0,1,0,1,0,1,0,1,1,8,64,1,1,2,2,2,60,6,2,22558.6796875
18581,56,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,145,2,1,2,1,1,41,8,2,63366
18581,74,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,136,1,1,2,1,2,47,10,4,161964.640625
18581,92,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,88,2,1,2,1,2,63,8,3,57501.66796875
18598,29,11,160101,1,0,0,0,0,0,0,1,0,1,1,1,158,1,1,2,1,1,70,10,3,43329.109375
18598,63,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,26,1,1,2,2,1,34,9,4,97324.5390625
18598,81,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,68,2,1,2,1,2,48,11,6,128421.6015625
18588,82,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,44,2,1,2,1,1,56,10,4,40909.94921875
18585,28,11,160101,0,0,0,0,0,0,0,1,0,1,1,1,25,2,2,2,2,1,64,6,1,9015.2470703125
18585,56,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,45,2,1,2,1,1,50,7,3,62363.796875
18585,72,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,25,2,1,2,1,1,61,6,4,24386.025390625
18585,87,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,86,2,1,2,1,1,30,10,3,34090.84375
18585,102,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,100,2,1,2,1,1,27,6,3,31280
18606,12,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,36,1,1,2,1,1,75,10,6,51084.6796875
18606,24,11,160101,0,1,0,1,0,0,0,1,0,0,1,7,0,1,1,2,1,1,81,6,2,19729.25390625
18606,86,11,160101,0,0,0,1,0,1,0,1,0,1,1,9,0,2,1,2,2,2,65,5,5,48473.84765625
18599,25,11,160101,0,1,0,1,0,1,0,1,0,1,1,8,47,2,1,2,1,1,60,6,5,78276.7421875
18599,65,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,116,2,1,2,1,2,38,8,3,46531.37890625
18599,107,11,160101,0,0,0,0,0,0,0,1,0,1,1,8,38,2,1,2,2,1,67,5,3,27897.955078125
18573,82,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,185,2,1,2,1,1,37,10,7,65868.0625
18574,46,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,194,2,1,2,1,1,56,10,2,57459.90234375
18634,60,11,160101,0,1,0,0,0,1,0,1,0,1,1,8,42,1,1,2,2,2,49,7,3,22953.37109375
18566,7,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,80,1,1,2,1,1,57,8,1,33757.42578125
18566,20,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,0,2,2,2,2,2,58,6,3,40784.3046875
18566,31,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,81,2,1,2,2,2,88,10,5,53519.34375
18566,43,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,253,2,1,2,1,1,52,10,4,170793.421875
18566,54,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,254,1,1,2,1,1,77,11,4,89599.75
18566,66,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,26,2,1,2,1,1,27,10,1,38745.0546875
18566,77,11,160101,0,0,0,0,0,0,0,1,0,1,3,1,0,2,2,2,2,2,46,7,1,18757.654296875
18573,3,11,160101,1,1,0,0,0,0,0,1,1,1,1,1,106,1,1,2,1,1,70,11,6,206998.84375
18573,19,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,189,1,1,2,1,1,75,10,6,67692.2890625
18573,50,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,97,2,1,2,1,2,42,11,4,91561.90625
18573,64,11,160101,0,0,0,1,0,1,0,1,0,1,1,8,46,2,1,2,2,1,65,6,3,7946.29541015625
18574,3,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,120,1,1,2,1,1,64,7,5,107838.1328125
