CONGLOME,VIVIENDA,HOGAR,UBIGEO,P101,P102,P1172.02,P207,P208A,P301A,MIEPERHO,Pobre_energético,ESTRATO,ingreso_pc_mensual,inseguridad_alimentaria,sexo_mujer,educacion_basica_completa,material_pared,estrato3,ingreso_pc_z,gasto_elec_z
18636,28,11,160101,1,1,97,2,52,8,2,1,2,1669.76806640625,0,1,1,Duradero,Urbano,0.7265456329410529,0.9934091317472934
18636,64,11,160101,1,1,164,1,60,10,4,1,2,3885.6305338541665,1,0,1,Duradero,Urbano,2.8999303716924163,2.1923816095843907
18636,82,11,160101,1,1,213,2,58,10,7,1,2,1836.2810639880952,0,1,1,Duradero,Urbano,0.8898666030213548,3.0692420784503276
18636,100,11,160101,1,1,10,2,58,8,3,1,2,1192.505099826389,1,1,1,Duradero,Urbano,0.2584317210110685,-0.5634655782799823
18644,46,11,160101,1,7,35,1,85,9,3,1,2,349.6140407986111,1,0,1,Precario,Urbano,-0.5683012513790628,-0.11608778804225944
18581,113,11,160101,1,1,97,1,38,10,4,1,2,1566.05859375,0,0,1,Duradero,Urbano,0.624824254269638,0.9934091317472934
18576,120,12,160101,1,1,15,1,58,7,4,1,2,1163.8572591145833,1,0,1,Duradero,Urbano,0.2303330548186091,-0.4739900202324378
18576,120,22,160101,8,9,20,1,36,7,6,1,2,586.4022894965277,1,0,1,Precario,Urbano,-0.3360521954940948,-0.3845144621848932
18599,86,11,160101,1,1,72,2,40,8,4,1,2,924.3446451822916,1,1,1,Duradero,Urbano,-0.004588140655416966,0.5460313415095704
18598,149,11,160101,1,1,78,1,58,6,2,0,2,964.5853678385416,0,0,1,Duradero,Urbano,0.03488117379086677,0.653402011166624
18598,98,11,160101,1,1,77,1,64,6,2,1,2,2152.7021484375,1,0,1,Duradero,Urbano,1.2002219459472834,0.635506899557115
18613,102,11,160101,1,1,39,2,48,7,3,1,2,396.8052029079861,0,1,1,Duradero,Urbano,-0.5220147362910645,-0.044507341604223774
18588,38,11,160101,1,1,194,2,53,8,4,1,2,2344.01220703125,0,1,1,Duradero,Urbano,1.3878646213504031,2.729234957869658
18606,49,11,160101,1,1,211,1,56,8,5,0,2,1948.5979166666668,1,0,1,Duradero,Urbano,1.0000303596182794,3.03345185523131
18606,61,11,160101,1,1,158,1,60,8,6,1,2,1164.478515625,1,0,1,Duradero,Urbano,0.23094240194119692,2.0850109399273373
18606,74,11,160101,1,1,137,2,57,10,5,1,2,1401.0640625,1,1,1,Duradero,Urbano,0.4629926417647371,1.70921359612765
18592,52,11,160101,1,8,8,2,34,5,8,1,2,97.6018778483073,1,1,0,Precario,Urbano,-0.8154823815178566,-0.5992558014990002
18592,114,11,160101,1,7,107,2,34,6,3,1,2,929.1245659722222,1,1,1,Precario,Urbano,1.0014981833265788e-4,1.1723602478423827
18592,153,11,160101,1,8,70,2,50,6,8,1,2,445.0081380208333,1,1,1,Precario,Urbano,-0.4747358437260652,0.5102411182905526
18592,172,11,160101,1,8,55,2,51,6,4,1,2,572.7176513671875,0,1,1,Precario,Urbano,-0.3494745013016831,0.2418144441479189
18592,12,11,160101,1,8,24,2,32,5,4,0,2,484.0649007161458,1,1,0,Precario,Urbano,-0.4364277929178437,-0.31293401574685753
18592,33,11,160101,1,8,10,1,29,5,3,1,2,344.52978515625,1,0,0,Precario,Urbano,-0.5732880426548521,-0.5634655782799823
18581,163,11,160101,1,8,64,2,60,6,2,1,2,939.9449869791666,1,1,1,Precario,Urbano,0.010713145087142365,0.40287044863349913
18581,56,11,160101,1,1,145,1,41,8,2,0,2,2640.25,1,0,1,Duradero,Urbano,1.678423583261608,1.8523744890037215
18581,74,11,160101,1,1,136,2,47,10,4,1,2,3374.2633463541665,0,1,1,Duradero,Urbano,2.398366011296556,1.6913184845181413
