"CONGLOME","VIVIENDA","HOGAR","UBIGEO","privacion_cocina","privacion_ilumina","privacion_comuni","privacion_electro","privacion_entreteni","puntaje","P101","P102","P1172.02","P207","P208A","P301A","MIEPERHO","Pobre_energético","ESTRATO","ingreso_pc_mensual","inseguridad_alimentaria","sexo_mujer","educacion_basica_completa","material_pared","estrato3","ingreso_pc_z","gasto_elec_z","distrito","provincia"
18636,28,11,"160101",1,0,0,0,0,0.4,1,1,97,2,52,8,2,1,2,1669.76806640625,0,1,1,"Duradero","Urbano",0.726545632941053,0.993409131747293,"Iquitos","Maynas "
18636,64,11,"160101",1,0,0,0,0,0.4,1,1,164,1,60,10,4,1,2,3885.63053385417,1,0,1,"Duradero","Urbano",2.89993037169242,2.19238160958439,"Iquitos","Maynas "
18636,82,11,"160101",1,0,0,0,0,0.4,1,1,213,2,58,10,7,1,2,1836.2810639881,0,1,1,"Duradero","Urbano",0.889866603021355,3.06924207845033,"Iquitos","Maynas "
18636,100,11,"160101",1,0,0,1,1,0.66,1,1,10,2,58,8,3,1,2,1192.50509982639,1,1,1,"Duradero","Urbano",0.258431721011068,-0.563465578279982,"Iquitos","Maynas "
18644,46,11,"160101",1,0,0,1,0,0.53,1,7,35,1,85,9,3,1,2,349.614040798611,1,0,1,"Precario","Urbano",-0.568301251379063,-0.116087788042259,"Iquitos","Maynas "
18581,113,11,"160101",1,0,0,0,0,0.4,1,1,97,1,38,10,4,1,2,1566.05859375,0,0,1,"Duradero","Urbano",0.624824254269638,0.993409131747293,"Iquitos","Maynas "
18576,120,12,"160101",1,0,0,1,0,0.53,1,1,15,1,58,7,4,1,2,1163.85725911458,1,0,1,"Duradero","Urbano",0.230333054818609,-0.473990020232438,"Iquitos","Maynas "
18576,120,22,"160101",1,0,0,0,0,0.4,8,9,20,1,36,7,6,1,2,586.402289496528,1,0,1,"Precario","Urbano",-0.336052195494095,-0.384514462184893,"Iquitos","Maynas "
18599,86,11,"160101",1,0,0,0,0,0.4,1,1,72,2,40,8,4,1,2,924.344645182292,1,1,1,"Duradero","Urbano",-0.00458814065541697,0.54603134150957,"Iquitos","Maynas "
18598,149,11,"160101",0,0,0,0,0,0,1,1,78,1,58,6,2,0,2,964.585367838542,0,0,1,"Duradero","Urbano",0.0348811737908668,0.653402011166624,"Iquitos","Maynas "
18598,98,11,"160101",1,0,0,0,0,0.4,1,1,77,1,64,6,2,1,2,2152.7021484375,1,0,1,"Duradero","Urbano",1.20022194594728,0.635506899557115,"Iquitos","Maynas "
18613,102,11,"160101",1,0,0,0,0,0.4,1,1,39,2,48,7,3,1,2,396.805202907986,0,1,1,"Duradero","Urbano",-0.522014736291065,-0.0445073416042238,"Iquitos","Maynas "
18588,38,11,"160101",1,0,0,0,0,0.4,1,1,194,2,53,8,4,1,2,2344.01220703125,0,1,1,"Duradero","Urbano",1.3878646213504,2.72923495786966,"Iquitos","Maynas "
18606,49,11,"160101",0,0,0,0,0,0,1,1,211,1,56,8,5,0,2,1948.59791666667,1,0,1,"Duradero","Urbano",1.00003035961828,3.03345185523131,"Iquitos","Maynas "
18606,61,11,"160101",1,0,0,0,0,0.4,1,1,158,1,60,8,6,1,2,1164.478515625,1,0,1,"Duradero","Urbano",0.230942401941197,2.08501093992734,"Iquitos","Maynas "
18606,74,11,"160101",1,0,0,0,0,0.4,1,1,137,2,57,10,5,1,2,1401.0640625,1,1,1,"Duradero","Urbano",0.462992641764737,1.70921359612765,"Iquitos","Maynas "
18592,52,11,"160101",1,0,0,1,1,0.66,1,8,8,2,34,5,8,1,2,97.6018778483073,1,1,0,"Precario","Urbano",-0.815482381517857,-0.599255801499,"Iquitos","Maynas "
18592,114,11,"160101",1,0,0,0,0,0.4,1,7,107,2,34,6,3,1,2,929.124565972222,1,1,1,"Precario","Urbano",0.000100149818332658,1.17236024784238,"Iquitos","Maynas "
18592,153,11,"160101",1,0,0,1,0,0.53,1,8,70,2,50,6,8,1,2,445.008138020833,1,1,1,"Precario","Urbano",-0.474735843726065,0.510241118290553,"Iquitos","Maynas "
18592,172,11,"160101",1,0,0,0,0,0.4,1,8,55,2,51,6,4,1,2,572.717651367188,0,1,1,"Precario","Urbano",-0.349474501301683,0.241814444147919,"Iquitos","Maynas "
18592,12,11,"160101",0,0,0,0,0,0,1,8,24,2,32,5,4,0,2,484.064900716146,1,1,0,"Precario","Urbano",-0.436427792917844,-0.312934015746858,"Iquitos","Maynas "
18592,33,11,"160101",0,0,0,1,1,0.26,1,8,10,1,29,5,3,1,2,344.52978515625,1,0,0,"Precario","Urbano",-0.573288042654852,-0.563465578279982,"Iquitos","Maynas "
18581,163,11,"160101",1,0,0,1,0,0.53,1,8,64,2,60,6,2,1,2,939.944986979167,1,1,1,"Precario","Urbano",0.0107131450871424,0.402870448633499,"Iquitos","Maynas "
18581,56,11,"160101",0,0,0,0,0,0,1,1,145,1,41,8,2,0,2,2640.25,1,0,1,"Duradero","Urbano",1.67842358326161,1.85237448900372,"Iquitos","Maynas "
18581,74,11,"160101",1,0,0,0,0,0.4,1,1,136,2,47,10,4,1,2,3374.26334635417,0,1,1,"Duradero","Urbano",2.39836601129656,1.69131848451814,"Iquitos","Maynas "
18581,92,11,"160101",1,0,0,0,0,0.4,1,1,88,2,63,8,3,1,2,1597.2685546875,0,1,1,"Duradero","Urbano",0.655435925253312,0.832353127261713,"Iquitos","Maynas "
18598,29,11,"160101",0,0,0,0,0,0,1,1,158,1,70,10,3,0,2,1203.58637152778,1,0,1,"Duradero","Urbano",0.269300566508278,2.08501093992734,"Iquitos","Maynas "
18598,63,11,"160101",0,0,0,1,0,0.13,1,1,26,1,34,9,4,0,2,2027.59456380208,1,0,1,"Duradero","Urbano",1.07751265367707,-0.27714379252784,"Iquitos","Maynas "
18598,81,11,"160101",0,0,0,0,0,0,1,1,68,2,48,11,6,0,2,1783.63335503472,1,1,1,"Duradero","Urbano",0.838228142218654,0.474450895071535,"Iquitos","Maynas "
18588,82,11,"160101",1,0,0,0,0,0.4,1,1,44,1,56,10,4,1,2,852.290608723958,1,0,1,"Duradero","Urbano",-0.0752609127721534,0.0449682164433208,"Iquitos","Maynas "
18585,28,11,"160101",0,0,0,1,1,0.26,1,1,25,1,64,6,1,1,2,751.270589192708,1,0,1,"Duradero","Urbano",-0.174344394704339,-0.295038904137349,"Iquitos","Maynas "
18585,56,11,"160101",1,0,0,0,0,0.4,1,1,45,1,50,7,3,1,2,1732.32769097222,1,0,1,"Duradero","Urbano",0.787905999521158,0.0628633280528297,"Iquitos","Maynas "
